idx	accession	class	len_nt	tuple	foldv2_aa_len	foldv2_energy	winding	frobenius	activation	genepipe_dG	genepipe_aa	pdb
074	XM_087172629.1	lncRNA XM_087172629.1 PREDICTED: Seriola lalandi dorsalis lncRNA encoded micropeptide (lnc.lemp), mRNA	565	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	0	0.0	124	False	0			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/074_XM_087172629.1.pdb
075	PQ821764.1	lncRNA PQ821764.1 Camellia sinensis ONT.14673.1 lncRNA, complete sequence	656	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	25	15579497.4197	145	True	7			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/075_PQ821764.1.pdb
076	PQ821763.1	lncRNA PQ821763.1 Camellia sinensis ONT.3025.2 lncRNA, complete sequence	1544	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	26	54.9202	399	True	7			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/076_PQ821763.1.pdb
077	PQ821762.1	lncRNA PQ821762.1 Camellia sinensis ONT.7520.2 lncRNA, complete sequence	465	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	123	25747197022.3487	106	True	11			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/077_PQ821762.1.pdb
078	PQ821761.1	lncRNA PQ821761.1 Camellia sinensis ONT.7520.1 lncRNA, complete sequence	474	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	61	280522.1872	108	True	9			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/078_PQ821761.1.pdb
079	PQ821760.1	lncRNA PQ821760.1 Camellia sinensis ONT.12712.2 lncRNA, complete sequence	530	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	10	4.8235	148	True	5			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/079_PQ821760.1.pdb
080	XM_086264320.1	lncRNA XM_086264320.1 PREDICTED: Aulonocara sp. 'chitande type north' Nkhata Bay lncRNA encoded micropeptide (lnc.lemp), mRNA	549	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	9	95953717.2973	118	False	3			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/080_XM_086264320.1.pdb
081	XM_086189735.1	lncRNA XM_086189735.1 PREDICTED: Aulostomus chinensis lncRNA encoded micropeptide (lnc.lemp), mRNA	641	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	15	-0.7283	151	False	4			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/081_XM_086189735.1.pdb
082	XM_086100173.1	lncRNA XM_086100173.1 PREDICTED: Hippocampus guttulatus lncRNA encoded micropeptide (lnc.lemp), transcript variant X2, mRNA	435	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	66	2149524.0049	101	True	7			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/082_XM_086100173.1.pdb
083	XM_086100172.1	lncRNA XM_086100172.1 PREDICTED: Hippocampus guttulatus lncRNA encoded micropeptide (lnc.lemp), transcript variant X1, mRNA	459	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	74	5649682.6807	110	True	9			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/083_XM_086100172.1.pdb
084	XM_086167086.1	lncRNA XM_086167086.1 PREDICTED: Fistularia commersonii lncRNA encoded micropeptide (lnc.lemp), mRNA	551	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	79	20839945.4311	141	True	10			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/084_XM_086167086.1.pdb
085	XM_086061427.1	lncRNA XM_086061427.1 PREDICTED: Leptonotus elevatus lncRNA encoded micropeptide (lnc.lemp), mRNA	541	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	7	-0.7371	129	False	2			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/085_XM_086061427.1.pdb
086	XM_086018289.1	lncRNA XM_086018289.1 PREDICTED: Filicampus tigris lncRNA encoded micropeptide (lnc.lemp), mRNA	496	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	4	-0.0327	124	False	0			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/086_XM_086018289.1.pdb
087	XM_087352377.1	mRNA XM_087352377.1 PREDICTED: Zootermopsis nevadensis putative glutamate receptor (LOC110831555), transcript variant X4, mRNA	1490	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	0	0.0	372	False	0			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/087_XM_087352377.1.pdb
088	XM_087352375.1	mRNA XM_087352375.1 PREDICTED: Zootermopsis nevadensis putative glutamate receptor (LOC110831555), transcript variant X3, mRNA	1757	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	7	13.9554	427	False	1			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/088_XM_087352375.1.pdb
089	XM_087352371.1	mRNA XM_087352371.1 PREDICTED: Zootermopsis nevadensis putative glutamate receptor (LOC110831555), transcript variant X2, mRNA	1729	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	7	13.9554	423	False	1			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/089_XM_087352371.1.pdb
090	XM_087352363.1	mRNA XM_087352363.1 PREDICTED: Zootermopsis nevadensis putative glutamate receptor (LOC110831555), transcript variant X1, mRNA	1996	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	7	13.9554	494	False	1			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/090_XM_087352363.1.pdb
091	XM_022067716.2	mRNA XM_022067716.2 PREDICTED: Zootermopsis nevadensis uncharacterized LOC110831563 (LOC110831563), transcript variant X2, mRNA	1692	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	64	654.7206	391	True	11			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/091_XM_022067716.2.pdb
092	XM_022067726.2	mRNA XM_022067726.2 PREDICTED: Zootermopsis nevadensis neuromedin-B receptor (LOC110831567), mRNA	2154	𐑨𐑶𐑾𐑗𐑱𐑧𐑚𐑠𐑢𐑖𐑳𐑷	46	80330418613.8676	522	True	8			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/092_XM_022067726.2.pdb
093	XM_087352341.1	mRNA XM_087352341.1 PREDICTED: Zootermopsis nevadensis glutamate receptor ionotropic, delta-1 (LOC110831553), mRNA	2407	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	4	-0.0361	611	False	3			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/093_XM_087352341.1.pdb
094	XM_087352338.1	mRNA XM_087352338.1 PREDICTED: Zootermopsis nevadensis glutamate receptor ionotropic, delta-1-like (LOC110831557), mRNA	2016	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	3	0.0	507	False	2			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/094_XM_087352338.1.pdb
095	XM_087352334.1	mRNA XM_087352334.1 PREDICTED: Zootermopsis nevadensis nose resistant to fluoxetine protein 6 (LOC110831549), transcript variant X2, mRNA	1834	𐑨𐑶𐑾𐑗𐑱𐑧𐑔𐑠𐑢𐑖𐑳𐑷	563	89043834.4655	409	True	12			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/095_XM_087352334.1.pdb
096	XM_022067683.2	mRNA XM_022067683.2 PREDICTED: Zootermopsis nevadensis nose resistant to fluoxetine protein 6 (LOC110831549), transcript variant X1, mRNA	3046	𐑨𐑶𐑾𐑗𐑱𐑧𐑔𐑠𐑢𐑖𐑳𐑷	691	84187614.5344	691	True	12			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/096_XM_022067683.2.pdb
097	XM_022067649.2	mRNA XM_022067649.2 PREDICTED: Zootermopsis nevadensis nose resistant to fluoxetine protein 6 (LOC110831539), mRNA	3233	𐑨𐑶𐑾𐑗𐑱𐑧𐑔𐑠𐑢𐑖𐑳𐑷	760	817821574076107.1	731	True	12			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/097_XM_022067649.2.pdb
098	XM_022067715.2	mRNA XM_022067715.2 PREDICTED: Zootermopsis nevadensis deoxynucleotidyltransferase terminal-interacting protein 2 (LOC110831561), transcript variant X2, mRNA	855	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	17	97.6289	188	False	4			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/098_XM_022067715.2.pdb
099	XM_022067714.2	mRNA XM_022067714.2 PREDICTED: Zootermopsis nevadensis deoxynucleotidyltransferase terminal-interacting protein 2 (LOC110831561), transcript variant X1, mRNA	871	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	13	-0.4765	194	False	3			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/099_XM_022067714.2.pdb
100	XM_022067713.2	mRNA XM_022067713.2 PREDICTED: Zootermopsis nevadensis estradiol 17-beta-dehydrogenase 8 (LOC110831560), transcript variant X2, mRNA	1729	𐑨𐑶𐑾𐑗𐑱𐑧𐑲𐑠𐑢𐑖𐑳𐑷	13	-1.9558	372	True	6			/home/mrnob0dy666/imsgct/red-hot_rebis/data/corpus_run/pdb/100_XM_022067713.2.pdb
